Constituency name,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,,
Filton and Bradley Stoke,Lab gain from Con,Lab,Con,77582,50367,152,10000,12905,22905,3596,6819,4142,0,,
Finchley and Golders Green,Lab gain from Con,Lab,Con,77500,49289,202,4581,17276,21857,3375,2598,3107,0,,
Folkestone and Hythe,Lab gain from Con,Lab,Con,70056,43246,146,3729,11291,15020,1736,10685,3954,0,,
Forest of Dean,Lab gain from Con,Lab,Con,72857,48091,233,278,16095,16373,2604,8194,4735,0,,
Foyle,SDLP hold,SDLP,SF,73496,38358,310,4166,0,0,0,0,0,0,,
Frome and East Somerset,LD gain from Con,LD,Con,71593,46716,143,5415,11165,6416,16580,6441,5083,0,,
Fylde,Con hold,Con,Lab,77100,47960,145,561,15917,15356,2120,8295,1560,0,,
Gainsborough,Con hold,Con,Lab,75836,46685,177,3532,16636,13104,5001,9916,1832,0,,
Gateshead Central and Whickham,Lab hold,Lab,RUK,69827,40217,140,9644,4628,18245,4987,8601,3217,0,,
Gedling,Lab gain from Con,Lab,Con,77006,48722,176,11881,11397,23278,2473,8211,3122,0,,
Gillingham and Rainham,Lab gain from Con,Lab,Con,73523,41140,138,3972,11590,15562,2248,8792,2318,0,,
Glasgow East,Lab gain from SNP,Lab,SNP,68987,35445,143,3784,1707,15543,872,2371,2727,11759,,
Glasgow North,Lab gain from SNP,Lab,SNP,67579,34739,166,3539,1366,14655,1142,1655,4233,11116,,
Glasgow North East,Lab gain from SNP,Lab,SNP,72610,34091,81,4637,1182,15639,592,2272,2471,11002,,
Glasgow South,Lab gain from SNP,Lab,SNP,70219,42378,144,4154,1617,17696,1316,1736,5554,13542,,
Glasgow South West,Lab gain from SNP,Lab,SNP,68871,35669,51,3285,1387,15552,958,2236,2727,12267,,
Glasgow West,Lab gain from SNP,Lab,SNP,69028,39902,186,6446,1720,18621,1316,2098,3662,12175,,
Glastonbury and Somerton,LD gain from Con,LD,Con,73268,47642,203,6611,13753,3111,20364,7678,2736,0,,
Glenrothes and Mid Fife,Lab gain from SNP,Lab,SNP,70655,36139,124,2954,1973,15994,1604,3528,0,13040,,
Gloucester,Lab gain from Con,Lab,Con,79475,45692,144,3431,13041,16472,4759,7307,2307,0,,
Godalming and Ash,Con hold,Con,LD,75816,54696,138,891,23293,2748,22402,4815,1243,0,,
Goole and Pocklington,Con hold,Con,Lab,79925,49742,165,3572,18981,15409,3380,9054,2451,0,,
Gordon and Buchan,Con hold,Con,SNP,69605,43848,166,878,14418,4686,7307,3897,0,13540,,
Gorton and Denton,Lab hold,Lab,RUK,76524,36560,175,13413,2888,18555,1399,5142,4810,0,,
Gosport,Con hold,Con,Lab,73261,44277,134,6054,17830,11776,4039,7983,1948,0,,
Gower,Lab hold,Lab,Con,76123,47229,160,11567,8913,20480,2593,8530,2488,0,,
Grantham and Bourne,Con hold,Con,Lab,73285,46125,150,4496,16770,12274,2027,9393,2570,0,,
Gravesham,Lab gain from Con,Lab,Con,73094,43232,134,2712,13911,16623,1534,8910,2254,0,,
Great Grimsby and Cleethorpes,Lab gain from Con,Lab,RUK,76157,36619,97,4803,8269,15336,1036,10533,1115,0,,
Great Yarmouth,RUK gain from Con,RUK,Lab,73317,40748,121,1426,10034,12959,1102,14385,1736,0,,
